magenta,
821522.972,9311126.851
821521.869,9311122.446
821519.546,9311117.494
821517.223,9311112.774
821515.133,9311108.750
821513.274,9311104.340
821511.958,9311100.393
821510.022,9311096.345
821507.065,9311092.301
821505.042,9311087.714
821503.408,9311083.048
821500.072,9311076.240
821498.082,9311071.664
821493.901,9311066.889
821491.512,9311062.910
821487.729,9311056.942
821485.539,9311050.377
821485.141,9311043.812
821482.553,9311037.844
821479.368,9311032.472
821476.780,9311027.896
821473.993,9311025.111
821469.016,9311022.525
821466.029,9311019.939
821464.636,9311015.960
821464.636,9311010.588
821464.437,9311003.824
821464.238,9310999.646
821460.826,9310990.210
821456.845,9310983.844
821453.859,9310977.079
821449.678,9310970.514
821443.904,9310966.933
821437.335,9310961.960
821434.747,9310956.986
821437.335,9310951.217
821438.927,9310944.652
821437.733,9310938.882
821434.128,9310932.242
821429.948,9310922.494
821424.373,9310912.348
821418.202,9310902.401
821413.026,9310893.846
821407.451,9310885.888
821399.687,9310876.737
821395.307,9310869.973
821392.719,9310863.209
821388.937,9310858.235
821382.367,9310855.649
821379.757,9310850.391
821378.761,9310846.810
821376.372,9310844.422
821374.182,9310840.046
821372.391,9310835.271
821369.604,9310831.491
821366.020,9310828.109
821362.835,9310823.732
821362.237,9310817.963
821360.844,9310812.989
821356.250,9310808.950
821353.065,9310803.380
821350.875,9310797.809
821347.093,9310792.836
821342.912,9310788.658
821339.328,9310783.286
821338.333,9310778.313
821336.541,9310774.135
821332.559,9310770.753
821330.171,9310766.774
821328.180,9310762.397
821327.782,9310759.015
821327.162,9310753.759
821325.370,9310747.790
821323.180,9310742.021
821318.800,9310733.466
821314.221,9310724.912
821311.036,9310715.760
821310.240,9310709.991
821307.452,9310703.824
821305.661,9310701.436
821300.684,9310701.237
821296.901,9310703.625
821293.318,9310703.824
821291.725,9310701.436
821293.119,9310697.457
821299.091,9310694.672
821300.473,9310693.608
821299.477,9310688.237
821297.685,9310683.064
821295.097,9310675.703
821291.912,9310669.934
821288.926,9310663.170
821285.143,9310655.411
821282.555,9310650.040
821277.976,9310640.490
821272.601,9310629.946
821268.221,9310618.407
821264.814,9310611.110
821261.629,9310605.142
821258.444,9310597.582
821256.254,9310590.420
821252.471,9310585.845
821247.295,9310576.295
821244.309,9310568.934
821242.915,9310561.374
821239.332,9310556.003
821235.549,9310550.035
821233.472,9310543.357
821230.924,9310535.720
821226.148,9310526.174
821221.690,9310517.900
821218.824,9310509.627
821215.321,9310501.353
821212.136,9310493.716
821207.360,9310485.443
821203.857,9310477.805
821200.657,9310468.471
821194.607,9310459.880
821192.059,9310452.879
821188.557,9310453.515
821185.372,9310455.425
821181.551,9310455.425
821178.685,9310453.834
821180.277,9310450.651
821184.098,9310449.060
821187.920,9310447.788
821189.512,9310445.242
821188.557,9310439.832
821186.009,9310433.786
821183.462,9310429.013
821179.959,9310424.558
821174.864,9310419.785
821169.132,9310415.966
821165.311,9310411.829
821163.082,9310407.693
821157.669,9310410.238
821153.529,9310412.466
821147.160,9310415.011
821141.110,9310417.239
821137.926,9310419.466
821134.104,9310421.694
821129.328,9310423.603
821124.233,9310425.513
821120.093,9310427.104
821114.680,9310429.649
821110.859,9310430.922
821107.993,9310433.150
821108.948,9310436.332
821110.540,9310441.105
821113.406,9310446.196
821115.317,9310447.469
821117.864,9310448.106
821117.864,9310450.651
821117.546,9310453.515
821118.183,9310457.016
821119.457,9310460.198
821121.367,9310463.062
821122.322,9310467.517
821123.914,9310470.699
821126.143,9310474.517
821127.736,9310477.381
