area,target_height,tolerance,x1,y1,x2,y2,x3,y3,x4,y4
A1,1.5,0.5,821540.302,9311228.604,821558.5,9311220.307,821566.797,9311238.505,821548.599,9311246.802
A2,1.5,0.5,821558.5,9311220.307,821576.698,9311212.011,821584.995,9311230.209,821566.797,9311238.505
A3,1.5,0.5,821576.698,9311212.011,821594.896,9311203.714,821603.193,9311221.912,821584.995,9311230.209
A4,1.5,0.5,821594.896,9311203.714,821613.094,9311195.418,821621.391,9311213.616,821603.193,9311221.912
A5,1.5,0.5,821613.094,9311195.418,821631.292,9311187.121,821639.589,9311205.319,821621.391,9311213.616
A6,1.5,0.5,821631.292,9311187.121,821649.49,9311178.825,821657.787,9311197.023,821639.589,9311205.319
A7,1.5,0.5,821649.49,9311178.825,821667.688,9311170.528,821675.985,9311188.726,821657.787,9311197.023
A8,1.5,0.5,821667.688,9311170.528,821685.886,9311162.232,821694.183,9311180.43,821675.985,9311188.726
A9,1.5,0.5,821685.886,9311162.232,821704.084,9311153.935,821712.381,9311172.133,821694.183,9311180.43
A10,1.5,0.5,821704.084,9311153.935,821722.282,9311145.639,821730.579,9311163.837,821712.381,9311172.133
A11,1.5,0.5,821722.282,9311145.639,821740.48,9311137.342,821748.777,9311155.54,821730.579,9311163.837
A12,1.5,0.5,821740.48,9311137.342,821758.678,9311129.046,821766.975,9311147.244,821748.777,9311155.54
A13,1.5,0.5,821758.678,9311129.046,821776.876,9311120.749,821785.173,9311138.947,821766.975,9311147.244
A14,1.5,0.5,821776.876,9311120.749,821795.074,9311112.453,821803.371,9311130.651,821785.173,9311138.947
A15,1.5,0.5,821795.074,9311112.453,821813.272,9311104.156,821821.569,9311122.354,821803.371,9311130.651
A16,1.5,0.5,821813.272,9311104.156,821831.47,9311095.86,821839.767,9311114.058,821821.569,9311122.354
A17,1.5,0.5,821831.47,9311095.86,821849.668,9311087.563,821857.965,9311105.761,821839.767,9311114.058
A18,1.5,0.5,821849.668,9311087.563,821867.866,9311079.267,821876.163,9311097.465,821857.965,9311105.761
A19,1.5,0.5,821867.866,9311079.267,821886.064,9311070.97,821894.361,9311089.168,821876.163,9311097.465
A20,1.5,0.5,821886.064,9311070.97,821904.262,9311062.674,821912.559,9311080.872,821894.361,9311089.168
A21,1.5,0.5,821904.262,9311062.674,821922.46,9311054.377,821930.757,9311072.575,821912.559,9311080.872
A22,1.5,0.5,821922.46,9311054.377,821940.658,9311046.081,821948.955,9311064.279,821930.757,9311072.575
A23,1.5,0.5,821940.658,9311046.081,821958.856,9311037.784,821967.153,9311055.982,821948.955,9311064.279
A24,1.5,0.5,821958.856,9311037.784,821977.054,9311029.488,821985.351,9311047.686,821967.153,9311055.982
A25,1.5,0.5,821977.054,9311029.488,821995.252,9311021.191,822003.549,9311039.389,821985.351,9311047.686
B1,1.5,0.5,821548.599,9311246.802,821566.797,9311238.505,821575.093,9311256.704,821556.895,9311265
B2,1.5,0.5,821566.797,9311238.505,821584.995,9311230.209,821593.291,9311248.407,821575.093,9311256.704
B3,1.5,0.5,821584.995,9311230.209,821603.193,9311221.912,821611.489,9311240.11,821593.291,9311248.407
B4,1.5,0.5,821603.193,9311221.912,821621.391,9311213.616,821629.687,9311231.814,821611.489,9311240.11
B5,1.5,0.5,821621.391,9311213.616,821639.589,9311205.319,821647.885,9311223.517,821629.687,9311231.814
B6,1.5,0.5,821639.589,9311205.319,821657.787,9311197.023,821666.083,9311215.221,821647.885,9311223.517
B7,1.5,0.5,821657.787,9311197.023,821675.985,9311188.726,821684.281,9311206.924,821666.083,9311215.221
B8,1.5,0.5,821675.985,9311188.726,821694.183,9311180.43,821702.479,9311198.628,821684.281,9311206.924
B9,1.5,0.5,821694.183,9311180.43,821712.381,9311172.133,821720.677,9311190.331,821702.479,9311198.628
B10,1.5,0.5,821712.381,9311172.133,821730.579,9311163.837,821738.875,9311182.035,821720.677,9311190.331
B11,1.5,0.5,821730.579,9311163.837,821748.777,9311155.54,821757.073,9311173.738,821738.875,9311182.035
B12,1.5,0.5,821748.777,9311155.54,821766.975,9311147.244,821775.271,9311165.442,821757.073,9311173.738
B13,1.5,0.5,821766.975,9311147.244,821785.173,9311138.947,821793.469,9311157.145,821775.271,9311165.442
B14,1.5,0.5,821785.173,9311138.947,821803.371,9311130.651,821811.667,9311148.849,821793.469,9311157.145
B15,1.5,0.5,821803.371,9311130.651,821821.569,9311122.354,821829.865,9311140.552,821811.667,9311148.849
B16,1.5,0.5,821821.569,9311122.354,821839.767,9311114.058,821848.063,9311132.256,821829.865,9311140.552
B17,1.5,0.5,821839.767,9311114.058,821857.965,9311105.761,821866.261,9311123.959,821848.063,9311132.256
B18,1.5,0.5,821857.965,9311105.761,821876.163,9311097.465,821884.459,9311115.663,821866.261,9311123.959
B19,1.5,0.5,821876.163,9311097.465,821894.361,9311089.168,821902.657,9311107.366,821884.459,9311115.663
B20,1.5,0.5,821894.361,9311089.168,821912.559,9311080.872,821920.855,9311099.07,821902.657,9311107.366
B21,1.5,0.5,821912.559,9311080.872,821930.757,9311072.575,821939.053,9311090.773,821920.855,9311099.07
B22,1.5,0.5,821930.757,9311072.575,821948.955,9311064.279,821957.251,9311082.477,821939.053,9311090.773
B23,1.5,0.5,821948.955,9311064.279,821967.153,9311055.982,821975.449,9311074.18,821957.251,9311082.477
B24,1.5,0.5,821967.153,9311055.982,821985.351,9311047.686,821993.647,9311065.884,821975.449,9311074.18
B25,1.5,0.5,821985.351,9311047.686,822003.549,9311039.389,822011.845,9311057.587,821993.647,9311065.884
